경력,주요 업무,자격 요건,우대사항,기술
"신입, 경력","• 빅데이터 아키텍처 설계 및 최적화
• 대규모 데이터 파이프라인 설계, 구축 및 관리
• 다양한 소스의 데이터 통합 및 처리
• 데이터베이스 성능 최적화 및 보안 설계
• 데이터 거버넌스 구축","• 경력: 무관
• 데이터 아키텍처 설계 관련 프로젝트 경험자
• 해외 출장에 결격사유가 없는 분","• 클라우드 기반 데이터 처리 경험(AWS, Azure 등)
• 컴퓨터공학, 데이터과학, 정보기술학, 소프트웨어공학, 산업공학, 통계학, 수학 및 응용수학 석사 이상 전공자
• 공간 빅데이터, 인공지능 기술 전반에 대해 많은 관심이 있는 분
• 적극적인 커뮤니케이션 능력을 갖추신 분","Redis
Python
PostgreSQL
Grafana"
경력,"• 목표지표 및 프로덕트 개선을 위한 임팩트 있는 가설을 설정하고, 이를 검증하기 위한 A/B Test 실험설계와 결과를 분석해요.
• 전사의 다양한 팀과의 협업을 통해 비즈니스 문제를 정의하고, 문제 해결을 위한 가설 분석을 통하여 인사이트를 도출해요.
• 고객 세그멘테이션 분석을 진행하고, 인사이트 도출을 통해 전략을 도출해요.
• 고객 여정(Customer Journey) 분석을 통하여 고객 경험(Customer Experience)를 개선하기 위한 인사이트를 발굴해요.","• 데이터 분석 유관경력이 5년 이상 또는 이에 준하는 경력이 필요해요.
• 가설을 설정하고, A/B Test 를 설계 및 분석하여 유의미한 결과를 도출한 경험이 필요해요.
• 데이터 분석 방법(AARRR, LTV,Funnel, cohort analysis 등)에 대한 높은 수준의 이해가 필요해요.
• Python, SQL을 사용해 데이터수집 및 전처리, 데이터 모델링, 결과 도출까지 전 과정을 진행한 경험이 필요해요.","• 중고거래, E-Commerce 에 대한 이해가 높으신 분이면 좋아요.
• A/B Test, 인과추론, 유저 세그먼트 고도화 경험이 있으신 분이면 좋아요.
• 통계/수리 모델링에 기반한 분석 프로젝트 경험이 있으면 좋아요.
• Tableau 를 이용한 비즈니스 인텔리전스 리포팅, 대시보드 경험이 있으면 좋아요.
• 데이터를 기반으로 문제점을 도출하거나, 전략 방향성을 적극적으로 제안한 경험이 있으면 좋아요.","Python
SQL"
경력,"[주요 업무책임]
• 온/오프라인 ​터치포인트에서 발생하는 ​다양한 ​형태의 데이터(음원/영상 스트리밍, ​SNS, 공연 ​등)를 정제하여 통합적 연결성 강화
• 정형/비정형 데이터를 융합한 모델링을 통해 패턴 분석, 산업 현황 진단 및 시장 변화 예측
• 지역/아티스트/BM별 맞춤형 전략 수립을 위한 데이터 기반 인사이트 제공
• 산업 지형 파악을 위한 지표 개발 및 모니터링

[주요 업무환경]
• 아티스트 활동 일정에 따른 업무 집중 시기 존재","[필수 자격요건]
• 데이터사이언스, 통계학, 컴퓨터공학, 수학 또는 관련 분야 학사 이상 학위
• 머신러닝, 딥러닝, AI 분야에서 3년 이상의 실무 경험
• Python, R 등 프로그래밍 언어와 SQL 등 데이터베이스 쿼리 언어에 대한 능숙한 활용 능력
• 대용량 데이터 처리 및 분석 경험
• 통계적 분석 및 가설 검정에 대한 전문 지식
• Tableau, Power BI 등 데이터 시각화 도구 활용 능력","[선호 자격요건]
• GCP 및 Google BigQuery를 통한 대규모 데이터 핸들링 경험
• 내부 DB를 활용한 RAG(Retrieval Augmented Generation) 구축 경험
• 텍스트 마이닝, 이미지 분석, 음성 인식 등 비정형 데이터 처리 경험
• 엔터테인먼트 산업 데이터 분석 및 비즈니스 인사이트 도출 경험

[필요 역량]
• 데이터 분석가, 데이터 엔지니어, 유관 부서와의 원활한 커뮤니케이션 및 협업 능력
• 복잡한 비즈니스 문제를 데이터 관점에서 재정의하고 해결책을 도출하는 능력
• 분석 주제 발굴과 접근 방식에 대한 혁신적 사고
• 결과물에 대한 높은 기준과 엄격한 데이터 품질 관리
• 급변하는 트렌드 속에서 우선순위를 정하고 효율적으로 업무를 수행하는 능력",
경력,"• AI 기반 ​고객 데이터 ​분석 및 예측 모델 개발
• AI 적용 성과 분석 및 개선
• 머신러닝 모델 설계 및 최적화","• 데이터 분석 및 머신러닝 관련 5년 이상 경력
• Python, SQL, R 등 데이터 분석 및 머신러닝 경험 필수
• AI 기반 예측 모델 개발 및 성과 분석 경험
• 빅데이터 분석 및 데이터 시각화 경험 (Tableau, Power BI 등)","• AI 기반 마케팅 자동화 경험
• 딥러닝 모델 개발 및 최적화 경험",
경력,"Design, implement, and optimize data pipelines and data models to support reporting, dashboards, and advanced analytics in the BigQuery ecosystem, GCP
• Optimize SQL queries and data processing logic for performance and cost-efficiency
• Contribute to data governance, documentation, and best practices for analytics engineering
• Ensure data quality by applying strong data debugging skills and attention to detail
• Adapt to a fast-paced, evolving environment with ambiguous requirements
• Work closely with various global cross-functional teams, applying strong communication and technical expertise to resolve technical challenges.","Bachelor's degree in Computer Science or a related field
2-7 years of professional experience
• Strong proficiency in SQL and experience with data modeling for analytics
• Strong problem-solving skills, ability to learn quickly, and adapt
• Strong desire to improve on inefficient processes
• Positive attitude and ability to receive and provide objective and constructive feedback
• Cultivate strong partnerships with cross-functional stakeholders
• Capable of participating in meetings and discussions in both Korean and English","• Hands-on industry experience in software development
• Self-driven, proactive personality, and critical thinking
• Experience in a cryptocurrency exchange or fintech company
• Experience working with web-scale datasets.
• Experience in distributed computing
• Experience in Cloud/Big Data Platforms (e.g., AWS, GCP, Beam, Spark, etc.)",
경력,"· Product 전략 개발/지원을 위한 정량적 분석, 실험 및 데이터 제시를 통해 기술적 전문성을 적용하는 동시에, Product 개선을 위한 기대와 수단을 정의, 이해, 테스트하고 통찰력에 기반한 추가적인 제안을 통해 로드맵을 추진합니다.
· 가설검증 - 테스트 가설을 세우고, 기회를 검증하고 고객 경험과 비즈니스 KPI에 긍정적인 개선을 가져다 줄 수 있는 조치들을 제안합니다.
· 테스트 분석 - 통계학적으로 정확하고 적합한 A/B analysis 을 리딩하고, 테스트 결과를 이끌어내는 요인에 대한 “WHY”에 답하기 위해 코호트 연구를 진행합니다. 분석적이고 통찰력 있는 Report 관점에서 좀 더 복잡한 Test를 고안합니다.
· 주요 Data Artifacts 와 Lineage (ex: ETL, 데이터 모델, 쿼리) 를 유지하며, 진행중인 테스트 성능/결과 모니터링을 위해 자동화된 데이터 워크플로우와 대시보드를 개발합니다.
· 관련 시각화 툴 (Tableau/PowerBI/Superset 등) 을 활용하여 Metrics을 트래킹하고, 이상 데이터를 조사하며, 적절한 차원에서 지표를 추가적으로 분류하여 심층적인 dynamics을 밝혀냅니다.
· 비즈니스의 기술적 및 운영적인 면에서의 세부 조건사항(ex: key dependencies, business drivers/KPIs, develop actionable business insights 등)들을 면밀히 탐색해서 건설적인 기술적 논의 및 검증에 기여합니다.
· 기술적/시스템적으로 더 효율적인 솔루션을 알아보고 테스트합니다. 데이터를 어떻게 소화, 처리, 분석하는지 이해합니다.
· 데이터셋 퀄리티를 개선하고 매뉴얼 프로세스를 자동화합니다.
· 프로덕트 팀의 비즈니스 결정에 영향을 미치는 인사이트와 솔루션을 제공합니다.
· 이해관계자들과 제안과 발견점에 대해 커뮤니케이션하고 추후 사용과 배포를 위해 위키로 문서화합니다.
· 직무의 Seniority에 따라 CX 프로덕트 내에 복잡성이 높은 분석적 영역을 담당하게 되고, 여러 PM들과 상호적으로 업무하며 프러덕트 분석및 비지니스의 우선순위 결정에 중요한 영향력을 발휘 할수 있으며, 데이터 분석가로 구성된 작은팀(2-4인)을 관리하는 리더쉽 역할까지 기대하고 있습니다.","· Querying Language (ex. SQL) 와 스크립트 언어 (파이썬) 사용 경험.
· Spark에 대한 이해도를 보유하신 분, GPU (ex. RapidsAI CUDA) 사용 경험 (우대 사항)
· 정량분야의 학사 (STEM, Finance, Economics, Statistics)
· Data Analyst, Data Scientist 등 데이터 분석 기술을 필요로하는 업무 약 3년 이상의 경험
· A/B 테스트와 Bayesian statistics을 포함한 A/B 테스트의 통계 개념에 대한 이해도와, A/B 테스트 설계, 결과 해석 경험
· 분산 시스템, 데이터 모델링, scientific methods 에 대한 종합적인 이해가 있고, 기술 통계/추리 통계에 대한 높은 전문성을 보유.
· 다양한 stakeholders을 대상으로 다수의 프레젠테이션을 진행해본 경험 및 효율적인 커뮤니케이션 스킬을 보유.
· 업무의 우선 순위를 효율적으로 정하고, 빠르고 역동적인 환경에서 효과적인 결과를 달성할 수 있는 역량 (멀티테스킹 역량)"," 공학 및 비지니스 학위 (석/박사 or MBA)
· 통계 분석을 위한 R/SAS 활용 역량
· Hive, Presto, Airflow
· 데이터 시각화 (예: Tableau, Qlik, Looker, Power BI)
· 자연어 (NLP) 처리 경력 우대
· 영어 능통자 우대","Python
SQL"
경력,"• 프로덕트/비즈니스/마케팅 데이터 지표 설계 및 관리
• 데이터 대시보드 구축 및 운영
• in-depth 데이터 분석을 통한 인사이트 도출 및 개선 방안 제시
• 데이터 추출/분석 교육을 통한 전사 데이터 리터러시 증대","• 2년 이상의 데이터 분석 경험
• BigQuery, SQL 사용이 능숙하신 분
• 팀 내외 커뮤니케이션을 원활하게 진행하실 수 있는 분
• 데이터 분석을 통한 원인 분석 및 문제 해결 역량","• R, Python을 활용한 데이터 분석 경험이 있으신 분
• Airflow 등을 통한 데이터 파이프라인 구축이 가능하신 분
• 커머스, 커뮤니티 서비스 분석 경험이 있으신 분
• 데이터 사이언스 역량을 갖추신 분",
경력,"• LLM과 GraphRAG 혹은 RAG기술을 활용하여 AI Agent 솔루션(제품)에 필요한 모델 개발
• 데이터 EDA를 통해 데이터파악하고 정재하여 필요한 형태로 가공
• Graph RAG를 위한 지식그래프 구축
• 주어진 데이터에 ML/DL기술을 적용하여 인사이트를 도출할 수 있는 솔루션(제품)에 필요한 모델 개발","• LLM과 RAG 및 GraphRAG에 대한 지식/기술 역량
• Graph RAG를 활용한 LLM구축 경험 혹은 그에 준하는 기술 역량
• 데이터 분석을 통해 문제 해결과 서비스 개선을 위해 다양한 가설을 세우고 논리적으로 증명할 수 있는 분
• SQL, Python 등을 활용해 데이터를 처리하고 모델링 활용이 능숙한 분
• 분석 결과를 비롯한 데이터 기반 인사이트를 누구나 이해할 수 있도록 쉽게 커뮤니케이션 할 수 있는 분
• 업무 수행시 본인의 알고 모름에 대한 정확한 판단과 자신의 생각을 구체적으로 공유하며 주도적으로 업무를 수행하는 성향을 가진분(중요)","• 관련 경력 3년 이상이 되시는 분
• Knowledge Graph 설계 또는 구축 경험
• GraphDB (Neo4j, ArangoDB, Neptune,AGE 등)를 활용한 데이터 모델링 및 분석 경험
• 관련 전공(통계, 머신러닝, 수학, 물리학 등) 석 • 박사 학위를 소지하고 계신 분",
경력,"• 데이터 및 머신러닝의 기본적인 이해와 통계적 지식을 바탕으로 비즈니스 현황 분석 및 인사이트 도출 지원
• 고객 행동 데이터를 분석하여 고객 이해도를 높이고, 프로덕트 및 마케팅 실행 방안 제안
• 통계적 접근 방식, 알고리즘, ML/DL, AI 도구를 활용한 추천/예측/타겟 식별 등 서비스 개선 과제 참여
• Data-Driven 의사 결정을 위한 지표 개발 및 데이터 시각화 툴 제공
• 다양한 부서와 협업하여 데이터 기반 솔루션 도출 및 비즈니스 문제 해결 기여
• 데이터 분석 및 머신러닝 관련 최신 기술 도입/적용","• 통계 분석, 추천/예측 모델링, ML/DL 활용 등 5년 이상 데이터 분석 관련 영역 경험이 있는 분
• 퍼널 분석, 리텐션 분석, 코호트 분석 등 프로덕트 데이터 분석 방법에 대한 이해도가 높은 분
• 서비스 핵심 지표를 설정하고, 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선한 경험이 있는 분
• 대규모 데이터 세트 관리, 패턴을 발견하기 위해 데이터 분석, 데이터 시각화 도구 사용 및 모델 생성 경험이 있는 분
• 유연성, 추진력 및 신뢰성과 같은 좋은 태도와 함께 비즈니스에 대한 이해가 높은 분","• 데이터를 활용해 복잡한 문제를 해결하는 데 능숙한 분
• Tableau 등과 같은 보고 도구에 대한 깊은 이해 및 SQL, Python, R 등 분석 프로그램 활용에 능숙한 분
• 고객 행동 데이터 등 대용량 데이터 분석 및 활용 경험이 있는 분
• ML/DL을 활용한 모델 개발 및 모델의 실제 서비스 적용/운영 경험과 TensorFlow, PyTorch 등 모델링을 위한 프레임워크 활용 경험이 있는 분
• 데이터 분석, 머신러닝 경진대회 수상 경력을 보유한 분",
경력,"[AI 플랫폼팀 소개]
1.AI추천
• 올리브영 AI추천엔진팀은 국내 H&B 시장을 선도하는 올리브영의 초개인화 맞춤 추천 서비스를 실현하기 위해
· 빅데이터를 바탕으로 추천 알고리즘을 만들고
· 추천시스템을 통하여 데이터를 학습시켜 추천 모델링을 합니다.
· 초개인화 추천을 위한 옴니채널 관점에서 온오프 통합 추천 서비스를 기획합니다.

2.AI과제
·다양한 AI기술을 활용하여 고객, 구성원, 파트너사를 위한 AI프로덕트를 기획하고, 설계하고, 서비스/프로덕트화합니다.

[담당업무]
빅데이터 기반 고객 행동 패턴 및 상품 구매요인 분석 및 인사이트 도출
데이터 분석, 설계, 모델링, 데이터마이닝
빅데이터 기반 상품 추천 모델, 유저 세그먼트 추출, 스코어 모델, 예측 모델 개발
Raw Data의 효율적 정제 및 데이터 구조 정의
생성형 AI 프로젝트","관련 업무 경력 6~10년 이상 (데이터 모델링 상용화 , 개발역량 등)
Machine Learnig 활용 데이터 분석 가능
python, spark 개발 가능자
다양한 분석 툴(SQL, R 등) 활용 가능
고객/상품/브랜드 분석 및 비즈니스 관련 인사이트 도출 경험
합리적인 의사 소통이 가능하신 분"," 관련학과(수학, 통계, 전산, 데이터 분석) 전공자 우대
• ML 관련 서비스 개발 및 운영 경험자 우대
• 추천 서비스 시스템 개발 및 운영 경험자 우대
• Agile 업무 환경(Scrum, Sprint, Squad 등) 경험자 우대
• 생성형 AI 관련 프로젝트 경험자 우대",
경력,"• Streaming data pipeline 구축, stream 처리 작업 개발 및 운영
• A/B testing 플랫폼의 데이터 수집, 정합성 관리
• Data 적재 작업 개발, 정합성 관리 및 운영
• Data Platform 개선 및 운영
• Data Warehouse 및 Data Mart 모델링","• Data Science, Data Analysis 팀과 협업 경험
• 2년 이상 Backend Engineer로서 서비스를 개발한 경험
• 3년 이상의 Data Warehouse/Data Mart, data pipeline 설계 및 운영 경험
• Software(Java, Python) 개발 경험과 알고리즘 ,자료구조, 디자인 패턴에 대한 이해
• 뛰어난 SQL 사용 능력","• ML ops pipeline 구축에 경험 또는 관심이 있는 분
• dbt 이용한 데이터 처리 경험
• AWS cloud에 대한 이해와 경험
• Spark 등 빅데이터 처리에 대한 경험
• Airbyte, DataHub, Snowflake, Airflow, Kafka, Flink 등의 구축 및 운영 경험","Spark
Java
Python
SQL
AWS"
