경력,주요 업무,자격 요건,우대사항,기술
신입,"• 고객이 서비스를 더 편리하게 사용할 수 있는 UX/UI 디자인을 직접 설계하여 프로토타입(Figma)을 구축합니다.
• UI/UX 관련 인사이트를 각 서비스 개발팀들과 조율하여 프로덕트를 발전 시킵니다.
• 스페이스만의 세계관을 팀과 함께 정의하고 방향성이 정해진 컨셉으로 브랜딩을 발전 시킵니다.","• 피그마/일러스터/포토샵 및 각종 툴을 활용해 완성도 높은 App/Web UI를 구성할 수 있는 분
• 다양한 요구사항을 단순화하여 직관적인 UI/UX 설계로 표현할 수 있는 분
• 편견없이 자신의 일과 타인의 일을 존중하며 능동적인 대화가 가능하신 분
• 포트폴리오 제출 가능하신 분","• 단순 노동성 일이 아닌 자신이 가진 직업에 대한 철학이 명확하신 분
• 브랜드 및 실제 서비스에 대하여 기획 및 디자인 참여를 경험하신 분
• 다양한 팀들과 주도적인 회의 및 의사결정을 내려보신 분
• 스타트업 및 게임 산업에 종사해보신 분
• 능동적이게 프로젝트를 리드해보신 분
• 인터렉션 및 그래픽 디자인 가능하신 분 (필수 X)","인터랙션 디자인, 서비스 디자인, 웹 디자인, 그래픽 디자인, Adobe Photoshop, UI 디자인, Figma"
"신입, 경력","ㆍFigma를 이용한 UI 디자인 리소스 제작 및 관리
ㆍ웹, 모바일 UI/UX 디자인
ㆍ사업 영역 확장에 따른 신규 서비스 고도화 UI/UX 디자인
ㆍ여러 업무관계자와 협업하며 디자인 프로젝트 진행","ㆍ 앱 또는 웹 UI/UX 디자인 업무 1년 이상의 경력이 있으신 분 (신입도 가능)
ㆍ UI 디자인 툴(Figma) 활용 능력 상급이신 분
ㆍ Figma를 이용한 디자인 컴포넌트화, 프로토타입 제작이 가능하신 분
ㆍ서비스 플랫폼 UI/UX 경험이 있으신 분
ㆍPM, 개발팀 등 여러 분야와의 협업을 위한 커뮤니케이션 능력을 보유하신 분","ㆍ기프티콘 몰/ e-commerce 서비스에 대한 이해도가 높거나 관련 경력 있으신 분
ㆍ웹표준, html, CSS 이해도가 높으신 분
ㆍB2C 뿐 아니라 B2B, O2O등 다양한 관점의 설계/디자인 경험이 있으신 분",Figma
신입,"• 자사 웹페이지 디자인 전반
- 홈페이지 리뉴얼, 상세 페이지와 배너 제작 등
• 콘텐츠 디자인 지원
- 광고 소재 제작, 차량 사진 수정, 각종 문서 디자인 등
• 타운카 브랜드 VX 관리/개선
- 브랜드 가이드 관리 및 확장 적용","• Adobe, Figma 등 디자인 툴 사용에 능숙하신 분
• 영상 콘텐츠 기획/제작 경험이 있으신 분","• 디자인 관련 학과를 졸업하신 분
• Webflow 등 노코드 툴을 통한 웹 제작(HTML, CSS, 간단한 JavaScript 포함)이 가능하신 분","Adobe, Figma"
"신입, 경력","• 대학생들이 서로 정보를 주고받을 수 있는 새로운 커뮤니티 서비스(시간표, 채팅 등)를 개발해요
• 데이터와 논리에 기반한 로지컬 디자인
• 효율적인 제품디자인을 위한 디자인시스템의 유지 및 관리","• 목표, 문제, 솔루션을 구조화하고 계획을 세울 수 있는 분
• 빠르게 배우고 적용하는 것을 좋아하며 성장을 추구하시는 분
• 기획부터 마케팅까지 제품을 만드는 전 과정에 기꺼이 참여할 의지가 있으신 분
• 구성원들과 유기적으로 소통하고 효율적인 소통을 중시하시는 분","• Figma를 사용해 아이디어를 시각화하실 수 있는 분
• Amplitude, GA와 같은 데이터툴을 사용해본 경험이 있으신 분
• 문제를 포착하여 제품화를 통해 문제해결을 해본 경험이 있으신 분
• 기획/개발에 대한 기초지식이 있고 기획자/개발자와 소통을 해보신 분",Figma
신입,"• 차트 분석 웹사이트 및 앱 디자인
• 사용자 플로우 및 와이어프레임 제작
• 아이콘 및 그래픽 요소 제작
• 소셜 플랫폼 웹 및 앱 디자인
• 개발자와의 협업을 통한 디자인 구현","• 웹/앱 디자인 포트폴리오 제출
• Figma 등 최신 디자인 툴에 대한 능숙도
• 원활한 커뮤니케이션 능력
• 동료들과의 협업 및 화합 능력
• 긍정적인 성격과 문제 해결 능력","• 핀테크 또는 투자 분야에 대한 관심과 이해
• 사용자 경험(UX) 디자인에 대한 깊은 이해
• 다양한 디자인 프로젝트 경험","Adobe Illustrator, Adobe XD, Figma"
"신입, 경력","• 패스오더 서비스 사용자와의 상호작용에 대해 고민하고, 사용자 친화적인 인터페이스를 설계 및 디자인해요.
• 패스오더 비즈니스 목표와 사용자 경험 관점에서 모두 유의미한 결과를 이뤄내기 위한 UX/UI 방향성을 수립하고 개선해요.
• 데이터를 기반으로 패스오더 사용자 리서치, 서비스 설계, 디자인을 분석하고 프로덕트 개선을 위해 문제를 정의해요.
• 패스오더 브랜드 및 사용자 경험을 증대할 수 있는 가장 효율적이고 심미적인 디자인으로 시각화해요.
• 패스오더 디자인 가이드를 제작하여 패스오더만의 브랜드, 서비스 경험을 전달하기 위해 디자인을 관리하고 유지해요.","• 전반적인 디자인 시스템, UI/UX, 플랫폼 별 디자인 가이드에 대한 이해도가 있는 분
• 패스오더 비즈니스와 서비스 사용자, 비대면 주문 결제 시스템에 대한 이해도가 높은 분
• 다양한 팀과 원활한 협업이 가능하고 적극적으로 커뮤니케이션을 할 수 있는 분
• 데이터 수집 및 분석을 통해 사용자 경험 중심으로 서비스를 개선한 경험이 있는 분
• 담당 업무와 프로젝트에 책임감을 가지고 주도적으로 운영, 개선해 나갈 수 있는 분","• 프로젝트의 초기 기획부터 참여하여 구축, 운영, 개선, 모니터링까지 경험해보신 분
• O2O 서비스 및 커피 시장과 UX/UI 디자인 트렌드에 대한 관심이 많은 분
• 다양한 디자인 및 프로토타입 툴 사용이 능숙하고 잘 활용할 수 있는 분
• 구조적인 UI 설계로 개발의 효율을 높일 수 있는 역량을 보유하신 분
• 데이터 기반으로 문제를 도출하고 개선 방안을 제시하는 분",
신입,"• 환자 중심의 디지털 치료제 프로덕트 UX 개선 및 UI 완성도 향상
• 팀 협업을 통한 디자인 전략 및 기획 방향 설정
• 사용자 조사를 바탕으로 인사이트 도출
• 사용자 흐름, 와이어프레임, 프로토타입 제작
• 자사 웹사이트 및 부가 프로젝트의 디자인 방향 제시 및 지원","• 개인 및 기업 프로젝트 수행 경험이 있으신 분 (모바일/웹)
• 프로덕트의 일관성, 보편성, 확장성을 고려하여 디자인 완성도를 높일 수 있는 분
• 인터페이스 및 UI 화면 설계에 대한 이해가 있는 분
• UX/UI 디자인을 통해 프로덕트의 효과성을 높이는 데 기여하고 싶은 분
• Figma 및 협업 툴에 대한 이해와 경험이 있으신 분
• 개발 직군과 협업 경험이 있으신 분
• 새로운 것에 대해 도전하고 학습하는 것에 두려움이 없는 분","• 디지털 치료제(DTx) 또는 소프트웨어 의료기기 등 유관 분야에서 디자인 경험이 있으신 분
• 영어 역량이 뛰어나신 분","인터랙션 디자인, 웹 디자인, Slack, PowerPoint, Adobe Photoshop, Adobe Illustrator, UI 디자인,Figma, Notion"
"신입, 경력","ㆍWeb,App UI / UX 설계, 기획 및 디자인","• 디자인 관련 스킬을 보유하신 분
• 학력/경력 무관","• IT, 디자인 관련 전공자 또는 관련 업무 경험이 있으신 분
• 관련 디자인 자격증을 취득하신 분
• 개발자와 원활한 커뮤니케이션이 원활하신 분
• 능동적이고 주도적인 디자인 업무 수행이 가능하신 분
• 협업/기획/오피스 툴 활용이 어렵지 않으신 분 (예/Jira, Confluence, Slack 등)","Adobe, UX 디자인, UI 디자인, Figma"
"신입, 경력","• 권리맵 등 무촌 제품 전반의 앱 및 웹 서비스 UX설계 및 UI 디자인
• 디자인 방향 제안 및 구축
• 비지니스 목표에 맞춘 필드 리서치, 사용자 분석
• 정량적, 정성적 데이터를 기반으로 문제를 정의하고 지속적으로 개선
• 디자인 시스템 관리 및 개선","• 디자인 툴(Figma, Sketch)을 통해 구조적이고 완성도가 높은 App / Web UI를 구성할 수 있는 분
• 자신의 UI/UX의 개선 방향 및 디자인을 팀원들에게 근거를 가지고 설득할 수 있는 분
• 자유로운 근무 환경에서 스스로의 목표와 일정을 관리할 수 있는 분
• 배움에 대한 열정을 갖고, 지속적이고 효과적으로 피드백을 주고 받는 분
• 제품 개발의 가설/검증을 통해 프로젝트를 진행하고, 정량적, 정성적 데이터를 중심으로 문제를 구체적으로 파악하고 개선할 수 있는 분","• 개발자와 함께 실제 서비스를 만들어 출시해 본 경험이 있는 분
• 인하우스에서 2년 이상 직접 서비스를 운영하면서 프로덕트를 평가하고 개선해본 경험
• Lo-fi/ Hi-fi 프로토타이핑 툴을 활용한 빠른 디자인 검증 능력을 가지고 계신 분
• 디자인 시스템을 활용한 경험이 있으신 분",
"신입, 경력","• 리비짓 솔루션 & 신규 프로젝트(LLM)의 전반적인 UI/UX
• 사용자 중심의 디자인
- 리비짓 서비스를 위한 사용 여정 설계부터 프로토타이핑까지 전 과정을 디자인해요.
- 비즈니스 목표와 사용자의 요구를 균형있게 고려하여 제품 방향을 도출해요.
• 디자인 시스템 구축
- 디자인 시스템 및 가이드를 구축/개선하고 일관된 디자인을 만들어가요.
• 다양한 협업과 소통
- 기획/개발팀과의 적극적인 커뮤니케이션을 통해 문제를 해결해요.
- 다양한 서비스팀과 협업하여 디자인 아이디어를 발전시키고 사용자 경험을 향상시켜요.","• 사용자 관점 및 비즈니스 이해를 통한 요구사항 분석 및 UI 설계와 디자인이 가능하신 분
• 병의원 업무 프로세스와 환자 경험을 혁신할 디자인 아이디어를 제시하실 수 있는 분
• Mobile, 반응형 Web 설계 경험이 있는 분
• Figma로 화면 플로우를 설계해보신 분","• 웹 기반 B2B Saas 제품 또는 병의원 솔루션 관련 프로젝트를 경험해보신 분
• (PRD를 이용하여) 화면 정의서를 작성하고 화면 플로우를 설계해보신 분
• 팀 내/외부와 원활하게 협력하고 피드백을 적극적으로 반영할 수 있는 분","Adobe Photoshop, Adobe Illustrator, Figma, Notion"
"신입, 경력","• 외부/신규 서비스 WEB and Mobile App 서비스 UI/UX 디자인
• 신규 기능 요구사항에 대한 설계
• 더 좋은 개발문화 함께 만들어가기","• 다양한 배경을 가진 팀원들과 협업을 위한 원활한 커뮤니케이션이 가능하신 분
• 스타트업 조직 문화에 익숙하신 분
• Adobe photoshop/illustrator/sketch/zeplin/figma 등 최신 툴 사용 경험
• 서비스 성격을 이해하고 ui설계 및 시각화 할 수 있는 사람
• 일의 우선순위를 정하고 능동적으로 일할 수 있는 사람
• 서비스의 톤 앤 매너에 맞게 색감을 잘 활용할 수 있는 사람
• 협업부서와 유연한 커뮤니케이션 할 수 있는 사람
• 자기 맡은 일에 책임을 가지고 잘 할 수 있는 사람","• 모바일/웹 환경에 대한 이해도가 있는 사람
• UI/UX 뿐만 아니라 서비스의 구조 및 사용자 경험에도 관심이 있는 사람
• MS-Office 활용이 가능한 사람 (자신의 디자인 의도를 정리하고 정리할 수 있는 사람)",
"신입, 경력","IT 프로덕트와 B2B 비즈니스 프로세스를 매끄럽게 연결할 수 있는 UX를 디자인합니다.
마케팅 팀, 세일즈 팀 등 고객에 대한 정성적, 정량적 리서치를 통한 인사이트를 도출합니다.
제품의 성장을 위해 필요한 문제를 정의하고, 방향성을 제시하며 개선안을 찾아 실행합니다.","- WEB/APP UI/UX에 대해 지식과 관심이 많으신 분
- 복잡한 정보, 기술, 정책을 이해하고 알맞은 솔루션(UX)을 설계한 경험이 필요합니다.
- Figma를 이용해 위계 있는 Web Product를 구성하실 수 있는 분이 필요합니다.
- 본인의 디자인을 논리적으로 표현하고 설득할 수 있는 분
- 밝은 성격과 긍정적인 마인드
- Photoshop, Illustrator 등에 능숙하신 분",- B2B 비즈니스의 백오피스를 디자인 해본 경험이 있으신 분,"Adobe Photoshop, Adobe Illustrator, UI 디자인, Figma"
신입,"• AI 컴패니언 서비스의 콘셉트 디자인 (소셜미디어, 모바일 게임과 유사)
• AI 컴패니언 서비스의 UI 디자인","• 관련 학과 4년제 대학 졸업자, 졸업예정자 혹은 그에 준하는 실력을 가지신 분
• 끊임없이 성장하며 새로운 지식을 습득하시는 것을 좋아하시는 분
• 자신의 생각과 아이디어를 논리적인 디자인 기획으로 풀어내실 수 있으신 분
• 시각적인 트렌드를 잘 이해하고 구현할 수 있는 분
• 서비스 기획자 및 분야가 다른 디자이너와 원활히 소통하실 수 있는 분
• Figma, Adobe Illustrator, Adobe Photoshop 툴을 능숙하게 다루실 수 있는 분
• 모바일 게임, 소셜미디어 류 서비스에 관심이 많으신 분
• 많은 사람들이 사용하는 서비스를 디자인 하는 것에 뿌듯함을 느끼시는 분","• 상용 서비스 디자인 경험
• AI 기반 툴 사용 경험(미드저니, 스테이블 디퓨전)","브랜딩, Adobe Photoshop, Adobe Illustrator, Figma"
"신입, 경력","• AIM 2.0 System Design & Development
• Launch AIM 2.0 in English & Spanish-speaking regions(EU and LatAm)
• ARR $100,000,000 by 2027","• Track record of success in two distinct domains
• Bachelor's degree in respective fields
• 10x growth experience at (Fintech) startup(s)
• Customer Obsession and One-Team ethos",,"서비스 디자인, Adobe Photoshop, Adobe Illustrator, UI 디자인, Figma"
신입,"보이저엑스의 UX/UI 디자인 인턴은 다음과 같은 활동을 통해 Vrew, vFlat 등 여러 서비스를 사용자들이 더욱 즐겁고 편리하게 사용할 수 있도록 합니다.

1. 문제를 발견하고 디자인으로 해결하는 방법을 찾습니다.
• 정량적 또는 정성적 데이터를 근거로 문제를 발견합니다.
• 문제를 해결할 수 있는 디자인을 생각합니다.
• 참고가 될 만한 다른 서비스들을 탐색하고 조사합니다.

2. (배우기) 쉽고, (쓰기) 편하고, (보기) 아름다운 서비스를 디자인합니다.
• 웹, 데스크탑, 모바일 각각의 플랫폼을 이해하고 디자인합니다.
• 직관적인 사용자 경험을 위한 디자인을 제안합니다.
• UX 설계, 프로토타이핑, UI 디자인 등의 작업에 참여합니다.
• 디자인 시스템을 정리해 나갑니다.

3. 기획, 개발, 사업, 마케팅 등 다양한 직군의 동료들과 협업합니다.
• 결과물을 논리적으로 정리하고 공유합니다.
• 의견을 지속적으로 주고받으며 설득하고 협력합니다.","1. 인턴 지원 자격에 해당하는 분
2. 성실하고 꼼꼼한 분
3. 정직하고 책임감이 강한 분
4. 공감하고 경청할 수 있는 분
5. 문제 발견과 해결에 즐거움을 느끼는 분
6. 시각적 표현에 재미를 느끼는 분
7. 쉽고 편한 디자인을 추구하는 분
8. 각종 디자인 도구를 잘 다루는 분",1. 논리적이고 분석적인 분,"Sketch, 타이포그래피,UX,그래픽 디자인, Adobe Photoshop, Adobe Illustrator, UI 디자인, Adobe XD, Figma, UX 기획"
신입,"• Web/Mobile UI,UX설계 및 디자인
• 자사 플랫폼 BM 시각화를 위한 브랜딩, 디자인 업무
• 자사 서비스 UI,UX디자인 및 퍼블리싱
• 사용자 관점 및 비즈니스 이해를 통해 요구사항 분석","• 신입, 경력 모두 지원 가능
• Adobe 툴, 협업툴(Adobe XD, 제플린 등)능숙하게 다루시는 분
• 사용자 경험 디자인 및 IA, 스토리보드 제작, 이해도 높으신 분
• 문제 발견, 우선순위 도출, 문제해결 능력 보유하신 분
※ 포트폴리오 제출 필수(본인 참여도 및 활용 툴 표기)","퍼블리싱(html5, CSS, Script) 가능자 우대","타이포그래피, 웹 디자인, HTML, 그래픽 디자인, Adobe Photoshop, Adobe Illustrator, UI 디자인, Adobe XD"
