경력,주요 업무,자격 요건,우대사항,기술
경력,"-브랜드 컨셉 기획
-소셜 미디어 콘텐츠 제작
-편집 디자인 콘텐츠 제작
-디자인 콘텐츠 제작
-제품 촬영 및 컨셉 기획
-모바일 및 웹 플랫폼의 UI/UX 디자인","-경력 2년 이상
-대학교 졸업 이상
-시각 디자인 및 그래픽 디자인 관련학과 전공자","• 포토샵, 일러스트, 피그마 프로그램을 능숙하고 빠르게 다룰 수 있는 분
• 카메라(DSLR)를 사용한 제품 촬영 및 보정 실무 경험이 있으신 분
• 영상 기획 / 촬영 / 편집 가능하신 분
• 숏폼 영상 컨텐츠에 이애도가 높은 분
• 에프터이펙트, 프리미어 등 영상, 3D 툴 활용자 우대
• UI/UX 관련 경험 2년 이상
• SNS(특히 인스타그램) 즐겨하시는 분
• 인플루언서에 관심이 있으신 분
• 인쇄에 대한 지식이 많으신 분
• 다양한 이해관계자와의 협업을 위한 적극적인 의사소통이 가능하신 분
• 고객 데이터 또는 논리적인 근거를 기반으로 디자인 업무를 하실 수 있는 분
• 자신이 만든 컨텐츠가 대중에게 보여질 때 즐거움을 느끼실 수 있는 분","웹 디자인
Adobe Photoshop
Adobe Illustrator
Figma"
경력,"• 자사 디지털 콘텐츠 디자인 전반
- 상세페이지, 이벤트, 프로모션 등 온라인 디자인 전반 운영 채널(자사몰&입점몰) 서비스 디자인 및 관리
- 자사몰 디자인 전반 및 입점몰 디자인 관리 콘텐츠 마케팅 디자인
- 브랜드 마케팅 전략에 적합한 SNS, 광고소재, 뉴스레터 등 인터널 디자인 지원
- 브랜드 이해에 기반한 브랜드 디자인 지원","• 동종 업무 경력 5년 이상 보유하신 분
• 카페24, 고도몰 등 솔루션 사용 겸험이 있는 분
• 기획 의도를 시각적으로 설득력 있게 표현할 수 있는 분
• 어도비 디자인 툴 사용이 능숙하신 분(포토샵, 일러스트레이터, 프리미어 등)
• 이커머스 콘텐츠 디자인 경험이 있는 분
• 디자인 완성도와 함께 '목표달성', '고객' 중심의 사고 및 업무 관리가 가능한 분
• 우수한 커뮤니케이션 역량, 긍정적인 마인드, 책임감과 꼼꼼함을 겸비한 분","• 영상 및 3d 프로그램 사용 가능하신 분
• 패키지(오프라인) 디자인 경력 2년 이상 보유자
• HTML, CSS에 대한 이해도와 경험이 있는 분
• 단순히 예쁜 디자인을 넘어, 구매로 이어지는 설득력 있는 디자인을 추구하는 분
• 개인 취향보다 브랜드와 유저 관점에서 디자인 기획을 할 수 있는 분
• 의견 공유와 피드백 교류에 적극적인 분
• 건강기능식품 또는 뷰티 업계 기업 경력자
• 스타트업 근무 경험자",
경력,"• 자사 콘텐츠(블로그, SNS, 유튜브 등) 이미지 전반 디자인
• 고객 피드백 및 시장 트렌드 등 기반한 콘텐츠 디자인 전략 수립 및 개선
• 타부서와 협업을 통해 콘텐츠 프로젝트 업무 수행
• 콘텐츠 산출물 지속 관리","• 온/오프라인 콘텐츠 디자인 개발 및 운영 경험
• 기획자, 포토그래퍼, 개발자 등 다양한 직군과 협업을 통해 성과를 낸 경험
• 다양한 온/오프라인 콘텐츠 채널 및 플랫폼에 대한 높은 관심과 이해도
• 주도적으로 목표와 전략을 설정하고, 논리적인 커뮤니케이션을 통해 협업할 수 있는 능력","• IT 스타트업 및 금융 관련 기업 종사 경험
• 디자인을 통해 고객 경험 측면에서 마케팅(홍보, 바이럴 등) 효과를 극대화한 경험
• 브랜드 아이덴티티 및 디자인 가이드 기획 및 디자인 경험
• 유튜브 등 온드미디어 채널의 영상 디자인 또는 채널 아트웍 경험",
경력,"** 3D 영상 제작, 컨셉 아트 디자인을 담당할 창의적이고 실력있는 3D 아티스트를 찾고 있습니다.
• 컨셉 디자인 및 기획 - 프로젝트의 시각적 방향성을 설정하고 컨셉아트 및 아트웍 제작, 디자인 기획 및 스타일 가이드 개발
• 아트웍 디렉팅 및 피드백 - 팀 내 아티스트 및 디자이너와 협업하여 작업 퀄리티 관리
• 기술적 문제 해결 및 최적화 - 3D 콘텐츠 제작 과정에서 발생하는 기술적 문제 해결 및 프로세스 최적화","• 3D 아트웍 제작 및 레벨 디자인 관련 분야 경력이 5년 이상 (게임, 영화, 애니메이션 등)
• 3D 그래픽 툴 활용 능력 (예 : Maya, C4D, Blender, 3ds Max, ZBrush 등)
• 모션그래픽 및 애니메이션에 대한 깊은 이해와 제작 경험
• 창의적인 문제 해결 능력 및 기술적 응용력
• 리더십 경험 (원활한 협업 및 커뮤니케이션 능력)","• 게임 엔진 (Unity, Unreal Engine) 활용 경험
• VR/AR/XR 콘텐츠 제작 경험
• 컨셉 아트 및 일러스트 제작 역량 보유
• 실감형 콘텐츠 및 인터랙티브 미디어 아트 프로젝트 경험
• 최적화된 3D 제작 파이프라인 구축 경험",
경력,"• 콘텐츠 전략 및 기획: 회사의 마케팅 목표와 브랜드 아이덴티티에 부합하는 포괄적인 콘텐츠 아이디어를 개발하고 실행합니다.
• 콘텐츠 생성 및 큐레이션: 디지털 플랫폼 전반에 걸쳐 매력적인 콘텐츠를 생성하고 관리합니다. 여기에는 작성된 글, 이미지, 비디오 및 기타 멀티미디어 콘텐츠가 포함됩니다.
• 브랜드 일관성 유지: 모든 디지털 접점에서 브랜드 목소리와 메시지 일관성을 유지하여 콘텐츠가 매력적이고 정확하며 전체적인 미학과 미션에 맞도록 합니다.
• 캘린더 관리: 콘텐츠를 채널별로 계획할 편집 캘린더를 구축하고 관리하며, 제품 출시, 마케팅 캠페인 및 계절별 이니셔티브와의 적시 조정을 보장합니다.
• 데이터 기반 최적화: 콘텐츠 성과 데이터를 분석하고(구글 애널리틱스, 소셜 인사이트 도구 등 사용) 전략을 조정하여 참여도, 전환율 및 브랜드 감성을 향상시킵니다.","• 브랜드 구축 및 스토리텔링에 대한 강한 이해와 여러 플랫폼에서 브랜드에 맞는 매력적인 콘텐츠를 생성할 수 있는 능력
• 세부 사항에 대한 탁월한 감각
• 뷰티, 패션, 예술, 문학 등 여러 창의적인 분야에서 최신 트렌드에 대한 민감한 감각과 혁신적인 브랜드가 마케팅과 콘텐츠를 통해 지속적인 인상을 남기고 궁극적으로 판매를 이끌어내는 방법에 대한 이해
• 빠르게 변화하는 환경에서 편집 캘린더와 콘텐츠 워크플로우를 관리한 경험
• 창의적인 사고방식과 팀이 새로운 아이디어를 실현할 수 있도록 영감을 주는 능력
• 강력한 프로젝트 관리 능력과 여러 업무를 동시에 처리할 수 있는 능력
• Adobe Photoshop, Illustrator, XD 등 디자인 툴에 대한 숙련도",,
경력,"[스펙터의 디자이너는 이렇게 일 해요]
• 단순 그래픽 작업만 하지 않고, 콘텐츠가 필요한 모든 영역을 커버해요.
• B2B, B2C 고객 관점에서 전달력이 좋은 결과물을 만들기 위해 노력해요.
• 마케팅과 브랜딩에 걸쳐 필요한 스펙터의 모든 콘텐츠를 만들어요.
• 하루 동안 여러 프로젝트를 유연하게 수행하며, 다양한 동료들과 협업해요.

[하루 일정 예시]
• 서비스 서비스 사용량 증가를 위한 SNS 콘텐츠 제작 (100% 완성 목표) | w/ Marketer
• 채용 홍보와 신규 리드 확보를 위한 메타 광고 소재 제작 (100% 완성 목표) | w/ Marketer
• 신규 리드 확보를 위한 서비스 소개서 기획 및 디자인 (20% 완성 목표) | w/ B2B Sales
• 서비스 사용량 증가를 위한 뉴스레터 콘텐츠 제작 (100% 완성 목표) | w/ B2B Sales
• 리드 증가를 위한 플랫폼 내 랜딩페이지 제작 (60% 완성 목표) | w/ Tech
• 서비스 사용량 증가를 위한 기획 미팅 (100% 완성 목표) | w/ Product Owner

[이렇게 성장할 수 있어요]
• UX 카피라이팅 제안과 기획 경험을 바탕으로 전달력 좋은 디자이너로 성장할 수 있어요.
• 단순한 작업물이 아닌, 우리의 결과물을 만든다는 관점에서 협업 역량을 키울 수 있어요.
• 빠르게 테스트하고 성과를 체감하여, 목표에 맞는 효과적인 디자인을 만들어 갈 수 있어요.
• 글로벌 HR Tech 스타트업으로 다양한 콘텐츠 기획을 통해 인사이트를 쌓을 수 있어요.","• 1년 이상의 콘텐츠 디자인 경력 혹은 유관 경험이 있는 분
• Figma, Photoshop, Illustraor 등 이미지 제작 툴 사용이 능숙하신 분
• 고객에게 가치를 잘 전달할 수 있도록 끊임없이 고민하는 분
• 궁금한 것을 해결할 때 까지 질문하고, 투명하게 소통하는 분
• 디테일보다는 속도를 중시하여, Due Date를 준수해 원활한 협업을 이끌어갈 수 있는 분","• 빠르게 성장하는 스타트업에서 주도적으로 일한 경험이 있는 분
• After Effects를 활용할 수 있는 분","After Effect
Adobe Photoshop
Adobe Illustrator
Figma"
경력,"• KFA 및 축구국가대표팀 콘텐츠/그래픽 디자인 업무 전반(SNS 콘텐츠, 이벤트 페이지, 영상 그래픽, 배너 등)
• 그래픽 기반의 비주얼 컨셉 제작
• 축구 경기 관련 이벤트 디자인","• 콘텐츠 디자인 관련 경력 5년 이상
• 다양한 콘셉트에 맞춰 창의적인 콘텐츠 제작이 가능한 분
• 유연한 커뮤니케이션 능력을 갖추신 분
• Photoshop, Illustrator 등 기본 디자인 툴 사용이 능숙하신 분","• 스포츠 관련 디자인 경험이 있으신 분
• 콘텐츠 마케팅 관련 경력이 있으신 분
• 브랜드 아이덴티티 기획 및 디자인(CI/BI) 능력을 갖춘 분
• 기본 영상 편집 툴(Adobe Premiere Pro) 활용 가능한 분","Adobe Photoshop
Adobe Illustrator"
경력,"• 콘텐츠 디자인 크리에이티브 관련 트렌드/레퍼런스 리서치
• 제품 상세 콘텐츠 디자인
• 프로모션/이벤트 콘텐츠 디자인
• 자사몰 유입 목표 달성을 위한 CRM 콘텐츠 디자인
• 메타, 카카오 등 주력 매체의 광고 콘텐츠 디자인
• 인스타그램 포스팅 콘텐츠 디자인
• 마크업 검수","• 이커머스 자사몰 및 마켓 플레이스 콘텐츠 디자인 경력 5년 이상
• APP/WEB/SNS 등 다양한 온라인 매체에서의 디자인 경험
• 크리에이티브에 대해 논리적으로 설득할 수 있는 디자인 기획 역량
• 브랜드 아이덴티티와 콘텐츠 기획 의도를 매력적인 크리에이티브로 구현할 수 있는 그래픽 역량
• 세일즈, 마케팅, 광고, 웹 퍼블리싱 담당자와 긴밀한 협업을 통해 성과를 만들어 내실 수 있는 분
• 업무 정확도가 높고, 강한 오너십을 토대로 속도감 있게 프로젝트를 주도하는 분
• 멀티태스킹 및 텍스트 커뮤니케이션에 능숙하신 분","• 주요 소비재/커머스 브랜드 경력을 보유하신 분
• 패션, 육아 관련 브랜드에 대한 이해도가 높으신 분
• 한국, 일본, 미국, 중화권, 글로벌 시장 및 고객에 대한 이해도가 있으신 분
• 변화하는 웹 트렌드를 능동적으로 학습하고 제안, 적용할 수 있는 분
• 성장하는 스타트업에서의 다양한 실무를 유연하게 담당하실 수 있는 분
• Figma, Adobe Creative 숙련도가 높으신 분
• 임신/출산/육아 경험이 있으신 분",
경력,"• 라운즈 앱/웹 마케팅을 위한 디자인 제작 전반
(배너, 기획전, 이벤트, 상품상세 등)
• 외부 채널 광고 소재 및 콘텐츠 디자인(SNS, DA광고 등)","• 관련 분야 3년 이상의 직무 경력, 이에 준하는 역량을 보유한 디자이너
• 감각적이고 트렌디한 디자인을 하시는 분
• 그래픽 디자인 툴(Figma, Adobe등) 사용에 능숙하신 분
• 생성형 AI 디자인 툴(Midjourney, ComfyUI 등) 활용 경험이 있으신 분
• 팀워크와 퍼블리싱에 대한 이해를 기반으로 한 우수한 커뮤니케이션 능력","• 생성형AI 컨텐츠 디자인 경험 우대
• 프레이머 등 노코드 플랫폼 활용 경험 우대
• 커머스 디자인 경험 우대",
경력,"• 라프텔 서비스의 다양한 모바일·웹 콘텐츠 디자인 (배너, 이벤트페이지, 프로모션 등)
• 자체 제작 및 수급 작품 등 애니메이션 IP를 활용한 크리에이티브 기획 (로고, 키아트, 영상, 굿즈 등)
• 애니메이션 소재를 활용한 영상 콘텐츠 기획 및 디자인
• SNS 콘텐츠, 퍼포먼스 광고 및 랜딩 페이지 에셋 제작
• 대내외 커뮤니케이션 및 라프텔 기업문화를 위한 브랜딩","• 포트폴리오 제출 필수 (프로젝트에 대한 참여인원, 역할, 기여도 표시 필요)
• 2년 이상의 그래픽 디자인 경력 또는 이에 준하는 실력을 가지고 계신 분
• 기획에 맞는 컨셉을 도출하고 완성도 높은 디자인 제작이 가능하신 분
• 마케터, MD 등 다양한 유관 부서와 원활한 커뮤니케이션이 가능하신 분
• Photoshop, Illustrator 등 Adobe 프로그램 활용이 능숙하신 분","• 애니메이션을 좋아하고, 서브컬쳐 업계 전반에 이해도가 높으신 분
• Premier pro, After Effects 등 모션그래픽 툴 활용이 가능하신 분
• OTT, 웹툰, 웹소설 등 콘텐츠 업계 업무 경험이 있으신 분

[이런 성장 경험을 만들어 갈 수 있어요]
• 글로벌, 커머스 등 새로운 사업 영역의 확장 초기에 합류하여 다양한 경험을 쌓아갈 수 있어요.
• 애니메이션 IP의 기획을 시각적으로 표현하고, 이를 다양한 디자인 결과물로 구현하며 실질적인 성과를 만들 수 있어요.
• 다채로운 프로젝트를 통해 애니메이션 산업의 흐름과 트렌드를 이해하고, 전문성을 더욱 심화할 수 있어요.
• 팀 내 협업을 통해 크리에이티브 디렉션과 실행 과정을 배우고, 디자인 기획부터 결과물 제작까지 전반적인 프로세스를 경험할 수 있어요.

[디자인 팀 사용 툴]
• Photoshop, Illustrator 등 Adobe Creative Suite
• Notion
• Slack
• ChatGPT, Midjourney 등 생성형 Ai툴 지원",
